Product,Group,Geo,FY3/2011,FY3/2012,FY3/2013,FY3/2014,FY3/2015,FY3/2016,FY3/2017,FY3/2018,FY3/2019,FY3/2020,FY3/2021,FY3/2022,FY3/2023
3DS XL,2DS/3DS,Japan,,,314 ,312 ,76 ,3 ,,,,,,,
3DS XL,2DS/3DS,The Americas,,,214 ,259 ,162 ,28 ,,,,,,,
3DS XL,2DS/3DS,Other,,,250 ,217 ,103 ,20 ,6 ,,,,,,
2DS,2DS/3DS,Japan,,,,,,10 ,49 ,6 ,,,,,
2DS,2DS/3DS,The Americas,,,,114 ,63 ,45 ,77 ,112 ,62 ,10 ,,,
2DS,2DS/3DS,Other,,,,106 ,92 ,62 ,124 ,81 ,26 ,10 ,,,
New 3DS,2DS/3DS,Japan,,,,,59 ,45 ,12 ,1 ,,,,,
New 3DS,2DS/3DS,The Americas,,,,,,11 ,40 ,,,,,,
New 3DS,2DS/3DS,Other,,,,,23 ,47 ,13 ,,,,,,
New 3DS XL,2DS/3DS,Japan,,,,,134 ,158 ,138 ,54 ,9 ,,,,
New 3DS XL,2DS/3DS,The Americas,,,,,67 ,141 ,139 ,85 ,8 ,,,,
New 3DS XL,2DS/3DS,Other,,,,,44 ,85 ,125 ,31 ,6 ,,,,
New 2DS XL,2DS/3DS,Japan,,,,,,,,78 ,38 ,8 ,,,
New 2DS XL,2DS/3DS,The Americas,,,,,,,,89 ,58 ,19 ,17 ,,
New 2DS XL,2DS/3DS,Other,,,,,,,,104 ,47 ,22 ,,,
Software,2DS/3DS,Japan,218 ,"1,113 ","2,116 ","2,677 ","2,402 ","2,034 ","1,784 ","1,118 ",233 ,48 ,65 ,34 ,117 
Software,2DS/3DS,The Americas,394 ,"1,264 ","1,617 ","2,273 ","2,131 ","1,487 ","1,905 ","1,212 ",570 ,234 ,153 ,103 ,102 
Software,2DS/3DS,Other,331 ,"1,222 ","1,228 ","1,839 ","1,742 ","1,331 ","1,820 ","1,234 ",519 ,217 ,121 ,70 ,64 
3DS,2DS/3DS,Japan,106,479,255 ,123 ,38 ,20 ,,,,,,,
3DS,2DS/3DS,The Americas,132,467,213 ,60 ,1 ,,,,,,,,
3DS,2DS/3DS,Other,123,406,150 ,33 ,12 ,4 ,5 ,,,,,,
