Product,Group,Geo,FY3/2005,FY3/2006,FY3/2007,FY3/2008,FY3/2009,FY3/2010,FY3/2011,FY3/2012,FY3/2013,FY3/2014,FY3/2015,FY3/2016,FY3/2017,FY3/2018,FY3/2019,FY3/2020,FY3/2021,FY3/2022
DS Lite,DS,Japan,,58 ,890 ,636 ,179 ,43 ,14 ,,,,,,,,,,,
DS Lite,DS,The Americas,,,641 ,"1,065 ","1,174 ",525 ,183 ,55 ,,,,,,,,,,
DS Lite,DS,Other,,,596 ,"1,292 ","1,463 ",457 ,89 ,22 ,2 ,,,1 ,,,,,,
DSi,DS,Japan,,,,,222 ,254 ,103 ,10 ,0 ,,,,,,,,,
DSi,DS,The Americas,,,,,33 ,664 ,289 ,99 ,143 ,7 ,,,,,,,,
DSi,DS,Other,,,,,48 ,562 ,274 ,120 ,11 ,4 ,1 ,,,,,,,
DSi XL,DS,Japan,,,,,,104 ,118 ,12 ,1 ,,,,,,,,,
DSi XL,DS,The Americas,,,,,,42 ,366 ,108 ,68 ,,,,,,,,,
DSi XL,DS,Other,,,,,,62 ,315 ,83 ,11 ,1 ,1 ,,,,,,,
Software,DS,Japan,382 ,"2,152 ","4,977 ","3,989 ","3,194 ","3,054 ","2,165 ",777 ,506 ,111 ,42 ,8 ,6 ,5 ,3 ,5 ,4 ,3 
Software,DS,The Americas,475 ,"1,608 ","3,720 ","6,517 ","8,175 ","7,362 ","6,225 ","3,295 ","1,763 ",538 ,145 ,86 ,11 ,,,,,
Software,DS,Other,192 ,"1,235 ","3,658 ","8,056 ","8,362 ","4,743 ","3,707 ","2,011 ","1,068 ",381 ,112 ,32 ,15 ,,,,1 ,
DS,DS,Japan,212,420,22 ,,,,,,,,,,,,,,,
DS,DS,The Americas,219,292,22 ,,,,,,,,,,,,,,,
DS,DS,Other,95,376,185 ,8,,,,,,,,,,,,,,
