Product,Group,Geo,FY3/2007,FY3/2008,FY3/2009,FY3/2010,FY3/2011,FY3/2012,FY3/2013,FY3/2014,FY3/2015,FY3/2016,FY3/2017,FY3/2018,FY3/2019,FY3/2020,FY3/2021,FY3/2022,FY3/2023
Nintendo Wii,Wii,Japan,200 ,390 ,206 ,238 ,126 ,86 ,26 ,4 ,,,,,,,,,
Nintendo Wii,Wii,The Americas,237 ,824 ,"1,293 ",986 ,778 ,453 ,205 ,71 ,18 ,,,,,,,,
Nintendo Wii,Wii,Other,147 ,647 ,"1,096 ",830 ,605 ,445 ,168 ,48 ,27 ,11 ,,,,,,,
Software,Wii,Japan,612 ,"1,494 ","1,303 ","1,498 ","1,145 ",900 ,432 ,128 ,32 ,27 ,15 ,4 ,2 ,1 ,1 ,,
Software,Wii,The Americas,"1,449 ","6,488 ","11,364 ","10,429 ","9,921 ","5,369 ","2,713 ","1,365 ",542 ,318 ,155 ,73 ,34 ,32 ,2 ,,
Software,Wii,Other,823 ,"3,979 ","7,791 ","7,254 ","6,061 ","3,968 ","1,915 ","1,124 ",600 ,388 ,186 ,118 ,65 ,55 ,13 ,,
Nintendo Wii U,Wii U,Japan,,,,,,,92,89,53,80,20,,,,,,
Nintendo Wii U,Wii U,The Americas,,,,,,,152,129,185,154,29,,,,,,
Nintendo Wii U,Wii U,Other,,,,,,,101,55,100,91,26,,,,,,
Software,Wii U,Japan,,,,,,,173,389,333,453,186,38,6,2,1,1,1
Software,Wii U,The Americas,,,,,,,728,970,"1,461","1,479",778,152,37,12,15,8,9
Software,Wii U,Other,,,,,,,440,527,646,805,516,126,42,11,9,4,2
