Product,Group,Geo,Date,Qty
Nintendo 3DS XL,3DSXL,Japan,2011-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2011-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2011-03-31,0.0
Nintendo 2DS,2DS,Japan,2011-03-31,0.0
Nintendo 2DS,2DS,The Americas,2011-03-31,0.0
Nintendo 2DS,2DS,Other,2011-03-31,0.0
New Nintendo 3DS,3DS,Japan,2011-03-31,0.0
New Nintendo 3DS,3DS,The Americas,2011-03-31,0.0
New Nintendo 3DS,3DS,Other,2011-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2011-03-31,0.0
New Nintendo 3DS XL,3DSXL,The Americas,2011-03-31,0.0
New Nintendo 3DS XL,3DSXL,Other,2011-03-31,0.0
New Nintendo 2DS XL,2DSXL,Japan,2011-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2011-03-31,0.0
New Nintendo 2DS XL,2DSXL,Other,2011-03-31,0.0
Software,3DS,Japan,2011-03-31,2.18
Software,3DS,The Americas,2011-03-31,3.94
Software,3DS,Other,2011-03-31,3.31
Nintendo 3DS,3DS,Japan,2011-03-31,1.06
Nintendo 3DS,3DS,The Americas,2011-03-31,1.32
Nintendo 3DS,3DS,Other,2011-03-31,1.23
Nintendo 3DS XL,3DSXL,Japan,2012-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2012-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2012-03-31,0.0
Nintendo 2DS,2DS,Japan,2012-03-31,0.0
Nintendo 2DS,2DS,The Americas,2012-03-31,0.0
Nintendo 2DS,2DS,Other,2012-03-31,0.0
New Nintendo 3DS,3DS,Japan,2012-03-31,0.0
New Nintendo 3DS,3DS,The Americas,2012-03-31,0.0
New Nintendo 3DS,3DS,Other,2012-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2012-03-31,0.0
New Nintendo 3DS XL,3DSXL,The Americas,2012-03-31,0.0
New Nintendo 3DS XL,3DSXL,Other,2012-03-31,0.0
New Nintendo 2DS XL,2DSXL,Japan,2012-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2012-03-31,0.0
New Nintendo 2DS XL,2DSXL,Other,2012-03-31,0.0
Software,3DS,Japan,2012-03-31,11.13
Software,3DS,The Americas,2012-03-31,12.64
Software,3DS,Other,2012-03-31,12.22
Nintendo 3DS,3DS,Japan,2012-03-31,4.79
Nintendo 3DS,3DS,The Americas,2012-03-31,4.67
Nintendo 3DS,3DS,Other,2012-03-31,4.0600000000000005
Nintendo 3DS XL,3DSXL,Japan,2013-03-31,3.14
Nintendo 3DS XL,3DSXL,The Americas,2013-03-31,2.14
Nintendo 3DS XL,3DSXL,Other,2013-03-31,2.5
Nintendo 2DS,2DS,Japan,2013-03-31,0.0
Nintendo 2DS,2DS,The Americas,2013-03-31,0.0
Nintendo 2DS,2DS,Other,2013-03-31,0.0
New Nintendo 3DS,3DS,Japan,2013-03-31,0.0
New Nintendo 3DS,3DS,The Americas,2013-03-31,0.0
New Nintendo 3DS,3DS,Other,2013-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2013-03-31,0.0
New Nintendo 3DS XL,3DSXL,The Americas,2013-03-31,0.0
New Nintendo 3DS XL,3DSXL,Other,2013-03-31,0.0
New Nintendo 2DS XL,2DSXL,Japan,2013-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2013-03-31,0.0
New Nintendo 2DS XL,2DSXL,Other,2013-03-31,0.0
Software,3DS,Japan,2013-03-31,21.16
Software,3DS,The Americas,2013-03-31,16.17
Software,3DS,Other,2013-03-31,12.280000000000001
Nintendo 3DS,3DS,Japan,2013-03-31,2.5500000000000003
Nintendo 3DS,3DS,The Americas,2013-03-31,2.13
Nintendo 3DS,3DS,Other,2013-03-31,1.5
