Product,Group,Geo,Date,Qty
Nintendo DS Lite,DS Lite,Japan,2005-03-31,0.0
Nintendo DS Lite,DS Lite,The Americas,2005-03-31,0.0
Nintendo DS Lite,DS Lite,Other,2005-03-31,0.0
Nintendo DSi,DSi,Japan,2005-03-31,0.0
Nintendo DSi,DSi,The Americas,2005-03-31,0.0
Nintendo DSi,DSi,Other,2005-03-31,0.0
Nintendo DSi XL,DSi XL,Japan,2005-03-31,0.0
Nintendo DSi XL,DSi XL,The Americas,2005-03-31,0.0
Nintendo DSi XL,DSi XL,Other,2005-03-31,0.0
Software,DS,Japan,2005-03-31,3.8200000000000003
Software,DS,The Americas,2005-03-31,4.75
Software,DS,Other,2005-03-31,1.92
Nintendo DS,DS,Japan,2005-03-31,2.12
Nintendo DS,DS,The Americas,2005-03-31,2.19
Nintendo DS,DS,Other,2005-03-31,0.9500000000000001
Nintendo DS Lite,DS Lite,Japan,2006-03-31,0.58
Nintendo DS Lite,DS Lite,The Americas,2006-03-31,0.0
Nintendo DS Lite,DS Lite,Other,2006-03-31,0.0
Nintendo DSi,DSi,Japan,2006-03-31,0.0
Nintendo DSi,DSi,The Americas,2006-03-31,0.0
Nintendo DSi,DSi,Other,2006-03-31,0.0
Nintendo DSi XL,DSi XL,Japan,2006-03-31,0.0
Nintendo DSi XL,DSi XL,The Americas,2006-03-31,0.0
Nintendo DSi XL,DSi XL,Other,2006-03-31,0.0
Software,DS,Japan,2006-03-31,21.52
Software,DS,The Americas,2006-03-31,16.080000000000002
Software,DS,Other,2006-03-31,12.35
Nintendo DS,DS,Japan,2006-03-31,4.2
Nintendo DS,DS,The Americas,2006-03-31,2.92
Nintendo DS,DS,Other,2006-03-31,3.7600000000000002
Nintendo DS Lite,DS Lite,Japan,2007-03-31,8.9
Nintendo DS Lite,DS Lite,The Americas,2007-03-31,6.41
Nintendo DS Lite,DS Lite,Other,2007-03-31,5.96
Nintendo DSi,DSi,Japan,2007-03-31,0.0
Nintendo DSi,DSi,The Americas,2007-03-31,0.0
Nintendo DSi,DSi,Other,2007-03-31,0.0
Nintendo DSi XL,DSi XL,Japan,2007-03-31,0.0
Nintendo DSi XL,DSi XL,The Americas,2007-03-31,0.0
Nintendo DSi XL,DSi XL,Other,2007-03-31,0.0
Software,DS,Japan,2007-03-31,49.77
Software,DS,The Americas,2007-03-31,37.2
Software,DS,Other,2007-03-31,36.58
Nintendo DS,DS,Japan,2007-03-31,0.22
Nintendo DS,DS,The Americas,2007-03-31,0.22
Nintendo DS,DS,Other,2007-03-31,1.85
Nintendo DS Lite,DS Lite,Japan,2008-03-31,6.36
Nintendo DS Lite,DS Lite,The Americas,2008-03-31,10.65
Nintendo DS Lite,DS Lite,Other,2008-03-31,12.92
Nintendo DSi,DSi,Japan,2008-03-31,0.0
Nintendo DSi,DSi,The Americas,2008-03-31,0.0
Nintendo DSi,DSi,Other,2008-03-31,0.0
Nintendo DSi XL,DSi XL,Japan,2008-03-31,0.0
Nintendo DSi XL,DSi XL,The Americas,2008-03-31,0.0
Nintendo DSi XL,DSi XL,Other,2008-03-31,0.0
Software,DS,Japan,2008-03-31,39.89
Software,DS,The Americas,2008-03-31,65.17
Software,DS,Other,2008-03-31,80.56
Nintendo DS,DS,Japan,2008-03-31,0.0
Nintendo DS,DS,The Americas,2008-03-31,0.0
Nintendo DS,DS,Other,2008-03-31,0.08
Nintendo DS Lite,DS Lite,Japan,2009-03-31,1.79
Nintendo DS Lite,DS Lite,The Americas,2009-03-31,11.74
Nintendo DS Lite,DS Lite,Other,2009-03-31,14.63
Nintendo DSi,DSi,Japan,2009-03-31,2.22
Nintendo DSi,DSi,The Americas,2009-03-31,0.33
Nintendo DSi,DSi,Other,2009-03-31,0.48
Nintendo DSi XL,DSi XL,Japan,2009-03-31,0.0
Nintendo DSi XL,DSi XL,The Americas,2009-03-31,0.0
Nintendo DSi XL,DSi XL,Other,2009-03-31,0.0
Software,DS,Japan,2009-03-31,31.94
Software,DS,The Americas,2009-03-31,81.75
Software,DS,Other,2009-03-31,83.62
Nintendo DS,DS,Japan,2009-03-31,0.0
Nintendo DS,DS,The Americas,2009-03-31,0.0
Nintendo DS,DS,Other,2009-03-31,0.0
Nintendo DS Lite,DS Lite,Japan,2010-03-31,0.43
Nintendo DS Lite,DS Lite,The Americas,2010-03-31,5.25
Nintendo DS Lite,DS Lite,Other,2010-03-31,4.57
Nintendo DSi,DSi,Japan,2010-03-31,2.54
Nintendo DSi,DSi,The Americas,2010-03-31,6.640000000000001
Nintendo DSi,DSi,Other,2010-03-31,5.62
Nintendo DSi XL,DSi XL,Japan,2010-03-31,1.04
Nintendo DSi XL,DSi XL,The Americas,2010-03-31,0.42
Nintendo DSi XL,DSi XL,Other,2010-03-31,0.62
Software,DS,Japan,2010-03-31,30.54
Software,DS,The Americas,2010-03-31,73.62
Software,DS,Other,2010-03-31,47.43
Nintendo DS,DS,Japan,2010-03-31,0.0
Nintendo DS,DS,The Americas,2010-03-31,0.0
Nintendo DS,DS,Other,2010-03-31,0.0
Nintendo DS Lite,DS Lite,Japan,2011-03-31,0.14
Nintendo DS Lite,DS Lite,The Americas,2011-03-31,1.83
Nintendo DS Lite,DS Lite,Other,2011-03-31,0.89
Nintendo DSi,DSi,Japan,2011-03-31,1.03
Nintendo DSi,DSi,The Americas,2011-03-31,2.89
Nintendo DSi,DSi,Other,2011-03-31,2.74
Nintendo DSi XL,DSi XL,Japan,2011-03-31,1.18
Nintendo DSi XL,DSi XL,The Americas,2011-03-31,3.66
Nintendo DSi XL,DSi XL,Other,2011-03-31,3.15
Software,DS,Japan,2011-03-31,21.650000000000002
Software,DS,The Americas,2011-03-31,62.25
Software,DS,Other,2011-03-31,37.07
Nintendo DS,DS,Japan,2011-03-31,0.0
Nintendo DS,DS,The Americas,2011-03-31,0.0
Nintendo DS,DS,Other,2011-03-31,0.0
Nintendo DS Lite,DS Lite,Japan,2012-03-31,0.0
Nintendo DS Lite,DS Lite,The Americas,2012-03-31,0.55
Nintendo DS Lite,DS Lite,Other,2012-03-31,0.22
Nintendo DSi,DSi,Japan,2012-03-31,0.1
Nintendo DSi,DSi,The Americas,2012-03-31,0.99
Nintendo DSi,DSi,Other,2012-03-31,1.2
Nintendo DSi XL,DSi XL,Japan,2012-03-31,0.12
Nintendo DSi XL,DSi XL,The Americas,2012-03-31,1.08
Nintendo DSi XL,DSi XL,Other,2012-03-31,0.8300000000000001
Software,DS,Japan,2012-03-31,7.7700000000000005
Software,DS,The Americas,2012-03-31,32.95
Software,DS,Other,2012-03-31,20.11
Nintendo DS,DS,Japan,2012-03-31,0.0
Nintendo DS,DS,The Americas,2012-03-31,0.0
Nintendo DS,DS,Other,2012-03-31,0.0
Nintendo DS Lite,DS Lite,Japan,2013-03-31,0.0
Nintendo DS Lite,DS Lite,The Americas,2013-03-31,0.0
Nintendo DS Lite,DS Lite,Other,2013-03-31,0.02
Nintendo DSi,DSi,Japan,2013-03-31,0.0
Nintendo DSi,DSi,The Americas,2013-03-31,1.43
Nintendo DSi,DSi,Other,2013-03-31,0.11
Nintendo DSi XL,DSi XL,Japan,2013-03-31,0.01
Nintendo DSi XL,DSi XL,The Americas,2013-03-31,0.68
Nintendo DSi XL,DSi XL,Other,2013-03-31,0.11
Software,DS,Japan,2013-03-31,5.0600000000000005
Software,DS,The Americas,2013-03-31,17.63
Software,DS,Other,2013-03-31,10.68
Nintendo DS,DS,Japan,2013-03-31,0.0
Nintendo DS,DS,The Americas,2013-03-31,0.0
Nintendo DS,DS,Other,2013-03-31,0.0
Nintendo DS Lite,DS Lite,Japan,2014-03-31,0.0
Nintendo DS Lite,DS Lite,The Americas,2014-03-31,0.0
Nintendo DS Lite,DS Lite,Other,2014-03-31,0.0
Nintendo DSi,DSi,Japan,2014-03-31,0.0
Nintendo DSi,DSi,The Americas,2014-03-31,0.07
Nintendo DSi,DSi,Other,2014-03-31,0.04
Nintendo DSi XL,DSi XL,Japan,2014-03-31,0.0
Nintendo DSi XL,DSi XL,The Americas,2014-03-31,0.0
Nintendo DSi XL,DSi XL,Other,2014-03-31,0.01
Software,DS,Japan,2014-03-31,1.11
Software,DS,The Americas,2014-03-31,5.38
Software,DS,Other,2014-03-31,3.81
Nintendo DS,DS,Japan,2014-03-31,0.0
Nintendo DS,DS,The Americas,2014-03-31,0.0
Nintendo DS,DS,Other,2014-03-31,0.0
Nintendo DS Lite,DS Lite,Japan,2015-03-31,0.0
Nintendo DS Lite,DS Lite,The Americas,2015-03-31,0.0
Nintendo DS Lite,DS Lite,Other,2015-03-31,0.0
Nintendo DSi,DSi,Japan,2015-03-31,0.0
Nintendo DSi,DSi,The Americas,2015-03-31,0.0
Nintendo DSi,DSi,Other,2015-03-31,0.01
Nintendo DSi XL,DSi XL,Japan,2015-03-31,0.0
Nintendo DSi XL,DSi XL,The Americas,2015-03-31,0.0
Nintendo DSi XL,DSi XL,Other,2015-03-31,0.01
Software,DS,Japan,2015-03-31,0.42
Software,DS,The Americas,2015-03-31,1.45
Software,DS,Other,2015-03-31,1.12
Nintendo DS,DS,Japan,2015-03-31,0.0
Nintendo DS,DS,The Americas,2015-03-31,0.0
Nintendo DS,DS,Other,2015-03-31,0.0
Nintendo DS Lite,DS Lite,Japan,2016-03-31,0.0
Nintendo DS Lite,DS Lite,The Americas,2016-03-31,0.0
Nintendo DS Lite,DS Lite,Other,2016-03-31,0.01
Nintendo DSi,DSi,Japan,2016-03-31,0.0
Nintendo DSi,DSi,The Americas,2016-03-31,0.0
Nintendo DSi,DSi,Other,2016-03-31,0.0
Nintendo DSi XL,DSi XL,Japan,2016-03-31,0.0
Nintendo DSi XL,DSi XL,The Americas,2016-03-31,0.0
