Product,Group,Geo,Date,Qty
Gamecube,Gamecube,Japan,2002-03-31,1.57
Gamecube,Gamecube,The Americas,2002-03-31,2.22
Gamecube,Gamecube,Other,2002-03-31,0.01
Software,Gamecube,Japan,2002-03-31,4.0600000000000005
Software,Gamecube,The Americas,2002-03-31,10.27
Software,Gamecube,Other,2002-03-31,0.03
Gamecube,Gamecube,Japan,2003-03-31,0.9
Gamecube,Gamecube,The Americas,2003-03-31,2.91
Gamecube,Gamecube,Other,2003-03-31,1.94
Software,Gamecube,Japan,2003-03-31,6.33
Software,Gamecube,The Americas,2003-03-31,25.96
Software,Gamecube,Other,2003-03-31,13.85
Gamecube,Gamecube,Japan,2004-03-31,0.99
Gamecube,Gamecube,The Americas,2004-03-31,2.72
Gamecube,Gamecube,Other,2004-03-31,1.32
Software,Gamecube,Japan,2004-03-31,8.5
Software,Gamecube,The Americas,2004-03-31,28.35
Software,Gamecube,Other,2004-03-31,10.52
Gamecube,Gamecube,Japan,2005-03-31,0.34
Gamecube,Gamecube,The Americas,2005-03-31,2.61
Gamecube,Gamecube,Other,2005-03-31,0.98
Software,Gamecube,Japan,2005-03-31,5.09
Software,Gamecube,The Americas,2005-03-31,33.18
Software,Gamecube,Other,2005-03-31,10.16
Gamecube,Gamecube,Japan,2006-03-31,0.2
Gamecube,Gamecube,The Americas,2006-03-31,1.72
Gamecube,Gamecube,Other,2006-03-31,0.44
Software,Gamecube,Japan,2006-03-31,2.98
Software,Gamecube,The Americas,2006-03-31,23.88
Software,Gamecube,Other,2006-03-31,5.92
Gamecube,Gamecube,Japan,2007-03-31,0.02
Gamecube,Gamecube,The Americas,2007-03-31,0.63
Gamecube,Gamecube,Other,2007-03-31,0.08
Software,Gamecube,Japan,2007-03-31,0.44
Software,Gamecube,The Americas,2007-03-31,14.48
Software,Gamecube,Other,2007-03-31,1.8800000000000001
Gamecube,Gamecube,Japan,2008-03-31,0.02
Gamecube,Gamecube,The Americas,2008-03-31,0.13
Gamecube,Gamecube,Other,2008-03-31,0.01
Software,Gamecube,Japan,2008-03-31,0.11
Software,Gamecube,The Americas,2008-03-31,2.29
Software,Gamecube,Other,2008-03-31,0.19
Gamecube,Gamecube,Japan,2009-03-31,0.0
Gamecube,Gamecube,The Americas,2009-03-31,0.0
Gamecube,Gamecube,Other,2009-03-31,0.0
Software,Gamecube,Japan,2009-03-31,0.01
Software,Gamecube,The Americas,2009-03-31,0.06
Software,Gamecube,Other,2009-03-31,0.02
