Product,Group,Geo,Date,Qty
Switch,Switch,Japan,2017-03-31,0.6
Switch,Switch,The Americas,2017-03-31,1.2
Switch,Switch,Europe,2017-03-31,0.76
Switch,Switch,Other,2017-03-31,0.18
Switch – OLED Model,Switch,Japan,2017-03-31,0.0
Switch – OLED Model,Switch,The Americas,2017-03-31,0.0
Switch – OLED Model,Switch,Europe,2017-03-31,0.0
Switch – OLED Model,Switch,Other,2017-03-31,0.0
Switch Lite,Switch,Japan,2017-03-31,0.0
Switch Lite,Switch,The Americas,2017-03-31,0.0
Switch Lite,Switch,Europe,2017-03-31,0.0
Switch Lite,Switch,Other,2017-03-31,0.0
Software,Switch,Japan,2017-03-31,0.89
Software,Switch,The Americas,2017-03-31,2.86
Software,Switch,Europe,2017-03-31,1.42
Software,Switch,Other,2017-03-31,0.29
Switch,Switch,Japan,2018-03-31,3.7800000000000002
Switch,Switch,The Americas,2018-03-31,5.94
Switch,Switch,Europe,2018-03-31,3.79
Switch,Switch,Other,2018-03-31,1.54
Switch – OLED Model,Switch,Japan,2018-03-31,0.0
Switch – OLED Model,Switch,The Americas,2018-03-31,0.0
Switch – OLED Model,Switch,Europe,2018-03-31,0.0
Switch – OLED Model,Switch,Other,2018-03-31,0.0
Switch Lite,Switch,Japan,2018-03-31,0.0
Switch Lite,Switch,The Americas,2018-03-31,0.0
Switch Lite,Switch,Europe,2018-03-31,0.0
Switch Lite,Switch,Other,2018-03-31,0.0
Software,Switch,Japan,2018-03-31,12.26
Software,Switch,The Americas,2018-03-31,27.52
Software,Switch,Europe,2018-03-31,19.17
Software,Switch,Other,2018-03-31,4.5600000000000005
Switch,Switch,Japan,2019-03-31,3.85
Switch,Switch,The Americas,2019-03-31,6.88
Switch,Switch,Europe,2019-03-31,4.55
Switch,Switch,Other,2019-03-31,1.69
Switch – OLED Model,Switch,Japan,2019-03-31,0.0
Switch – OLED Model,Switch,The Americas,2019-03-31,0.0
Switch – OLED Model,Switch,Europe,2019-03-31,0.0
Switch – OLED Model,Switch,Other,2019-03-31,0.0
Switch Lite,Switch,Japan,2019-03-31,0.0
Switch Lite,Switch,The Americas,2019-03-31,0.0
Switch Lite,Switch,Europe,2019-03-31,0.0
Switch Lite,Switch,Other,2019-03-31,0.0
Software,Switch,Japan,2019-03-31,21.48
Software,Switch,The Americas,2019-03-31,53.94
Software,Switch,Europe,2019-03-31,35.160000000000004
Software,Switch,Other,2019-03-31,7.97
Switch,Switch,Japan,2020-03-31,3.21
Switch,Switch,The Americas,2020-03-31,5.78
Switch,Switch,Europe,2020-03-31,4.0
Switch,Switch,Other,2020-03-31,1.85
Switch – OLED Model,Switch,Japan,2020-03-31,0.0
Switch – OLED Model,Switch,The Americas,2020-03-31,0.0
Switch – OLED Model,Switch,Europe,2020-03-31,0.0
Switch – OLED Model,Switch,Other,2020-03-31,0.0
Switch Lite,Switch,Japan,2020-03-31,2.0
Switch Lite,Switch,The Americas,2020-03-31,2.33
Switch Lite,Switch,Europe,2020-03-31,1.34
Switch Lite,Switch,Other,2020-03-31,0.53
Software,Switch,Japan,2020-03-31,32.56
Software,Switch,The Americas,2020-03-31,74.28
Software,Switch,Europe,2020-03-31,50.17
Software,Switch,Other,2020-03-31,11.71
Switch,Switch,Japan,2021-03-31,4.78
Switch,Switch,The Americas,2021-03-31,7.07
Switch,Switch,Europe,2021-03-31,5.0200000000000005
Switch,Switch,Other,2021-03-31,3.45
Switch – OLED Model,Switch,Japan,2021-03-31,0.0
Switch – OLED Model,Switch,The Americas,2021-03-31,0.0
Switch – OLED Model,Switch,Europe,2021-03-31,0.0
Switch – OLED Model,Switch,Other,2021-03-31,0.0
Switch Lite,Switch,Japan,2021-03-31,1.81
Switch Lite,Switch,The Americas,2021-03-31,4.09
Switch Lite,Switch,Europe,2021-03-31,2.13
Switch Lite,Switch,Other,2021-03-31,0.48
Software,Switch,Japan,2021-03-31,45.02
Software,Switch,The Americas,2021-03-31,102.42
Software,Switch,Europe,2021-03-31,66.24
Software,Switch,Other,2021-03-31,17.2
Switch,Switch,Japan,2022-03-31,2.56
Switch,Switch,The Americas,2022-03-31,5.22
Switch,Switch,Europe,2022-03-31,4.04
Switch,Switch,Other,2022-03-31,1.74
Switch – OLED Model,Switch,Japan,2022-03-31,1.61
Switch – OLED Model,Switch,The Americas,2022-03-31,1.94
Switch – OLED Model,Switch,Europe,2022-03-31,1.12
Switch – OLED Model,Switch,Other,2022-03-31,1.1300000000000001
Switch Lite,Switch,Japan,2022-03-31,1.02
Switch Lite,Switch,The Americas,2022-03-31,1.59
Switch Lite,Switch,Europe,2022-03-31,0.86
Switch Lite,Switch,Other,2022-03-31,0.22
Software,Switch,Japan,2022-03-31,42.14
Software,Switch,The Americas,2022-03-31,108.27
Software,Switch,Europe,2022-03-31,65.78
Software,Switch,Other,2022-03-31,18.88
Switch,Switch,Japan,2023-03-31,0.9500000000000001
Switch,Switch,The Americas,2023-03-31,2.67
Switch,Switch,Europe,2023-03-31,2.11
Switch,Switch,Other,2023-03-31,0.4
Switch – OLED Model,Switch,Japan,2023-03-31,2.84
Switch – OLED Model,Switch,The Americas,2023-03-31,2.88
Switch – OLED Model,Switch,Europe,2023-03-31,2.38
Switch – OLED Model,Switch,Other,2023-03-31,1.12
Switch Lite,Switch,Japan,2023-03-31,0.58
Switch Lite,Switch,The Americas,2023-03-31,1.42
Switch Lite,Switch,Europe,2023-03-31,0.49
Switch Lite,Switch,Other,2023-03-31,0.13
Software,Switch,Japan,2023-03-31,45.79
Software,Switch,The Americas,2023-03-31,87.0
Software,Switch,Europe,2023-03-31,62.980000000000004
Software,Switch,Other,2023-03-31,18.2
