Product,Group,Geo,Date,Qty
Nintendo Wii,Wii,Japan,2007-03-31,2.0
Nintendo Wii,Wii,The Americas,2007-03-31,2.37
Nintendo Wii,Wii,Other,2007-03-31,1.47
Software,Wii,Japan,2007-03-31,6.12
Software,Wii,The Americas,2007-03-31,14.49
Software,Wii,Other,2007-03-31,8.23
Nintendo Wii U,Wii U,Japan,2007-03-31,0.0
Nintendo Wii U,Wii U,The Americas,2007-03-31,0.0
Nintendo Wii U,Wii U,Other,2007-03-31,0.0
Software,Wii U,Japan,2007-03-31,0.0
Software,Wii U,The Americas,2007-03-31,0.0
Software,Wii U,Other,2007-03-31,0.0
Nintendo Wii,Wii,Japan,2008-03-31,3.9
Nintendo Wii,Wii,The Americas,2008-03-31,8.24
Nintendo Wii,Wii,Other,2008-03-31,6.47
Software,Wii,Japan,2008-03-31,14.94
Software,Wii,The Americas,2008-03-31,64.88
Software,Wii,Other,2008-03-31,39.79
Nintendo Wii U,Wii U,Japan,2008-03-31,0.0
Nintendo Wii U,Wii U,The Americas,2008-03-31,0.0
Nintendo Wii U,Wii U,Other,2008-03-31,0.0
Software,Wii U,Japan,2008-03-31,0.0
Software,Wii U,The Americas,2008-03-31,0.0
Software,Wii U,Other,2008-03-31,0.0
Nintendo Wii,Wii,Japan,2009-03-31,2.06
Nintendo Wii,Wii,The Americas,2009-03-31,12.93
Nintendo Wii,Wii,Other,2009-03-31,10.96
Software,Wii,Japan,2009-03-31,13.030000000000001
Software,Wii,The Americas,2009-03-31,113.64
Software,Wii,Other,2009-03-31,77.91
Nintendo Wii U,Wii U,Japan,2009-03-31,0.0
Nintendo Wii U,Wii U,The Americas,2009-03-31,0.0
Nintendo Wii U,Wii U,Other,2009-03-31,0.0
Software,Wii U,Japan,2009-03-31,0.0
Software,Wii U,The Americas,2009-03-31,0.0
Software,Wii U,Other,2009-03-31,0.0
Nintendo Wii,Wii,Japan,2010-03-31,2.38
Nintendo Wii,Wii,The Americas,2010-03-31,9.86
Nintendo Wii,Wii,Other,2010-03-31,8.3
Software,Wii,Japan,2010-03-31,14.98
Software,Wii,The Americas,2010-03-31,104.29
Software,Wii,Other,2010-03-31,72.54
Nintendo Wii U,Wii U,Japan,2010-03-31,0.0
Nintendo Wii U,Wii U,The Americas,2010-03-31,0.0
Nintendo Wii U,Wii U,Other,2010-03-31,0.0
Software,Wii U,Japan,2010-03-31,0.0
Software,Wii U,The Americas,2010-03-31,0.0
Software,Wii U,Other,2010-03-31,0.0
Nintendo Wii,Wii,Japan,2011-03-31,1.26
Nintendo Wii,Wii,The Americas,2011-03-31,7.78
Nintendo Wii,Wii,Other,2011-03-31,6.05
Software,Wii,Japan,2011-03-31,11.450000000000001
Software,Wii,The Americas,2011-03-31,99.21000000000001
Software,Wii,Other,2011-03-31,60.61
Nintendo Wii U,Wii U,Japan,2011-03-31,0.0
Nintendo Wii U,Wii U,The Americas,2011-03-31,0.0
Nintendo Wii U,Wii U,Other,2011-03-31,0.0
Software,Wii U,Japan,2011-03-31,0.0
Software,Wii U,The Americas,2011-03-31,0.0
Software,Wii U,Other,2011-03-31,0.0
Nintendo Wii,Wii,Japan,2012-03-31,0.86
Nintendo Wii,Wii,The Americas,2012-03-31,4.53
Nintendo Wii,Wii,Other,2012-03-31,4.45
Software,Wii,Japan,2012-03-31,9.0
Software,Wii,The Americas,2012-03-31,53.69
Software,Wii,Other,2012-03-31,39.68
Nintendo Wii U,Wii U,Japan,2012-03-31,0.0
Nintendo Wii U,Wii U,The Americas,2012-03-31,0.0
Nintendo Wii U,Wii U,Other,2012-03-31,0.0
Software,Wii U,Japan,2012-03-31,0.0
Software,Wii U,The Americas,2012-03-31,0.0
Software,Wii U,Other,2012-03-31,0.0
Nintendo Wii,Wii,Japan,2013-03-31,0.26
Nintendo Wii,Wii,The Americas,2013-03-31,2.05
Nintendo Wii,Wii,Other,2013-03-31,1.68
Software,Wii,Japan,2013-03-31,4.32
Software,Wii,The Americas,2013-03-31,27.13
Software,Wii,Other,2013-03-31,19.150000000000002
Nintendo Wii U,Wii U,Japan,2013-03-31,0.92
Nintendo Wii U,Wii U,The Americas,2013-03-31,1.52
Nintendo Wii U,Wii U,Other,2013-03-31,1.01
Software,Wii U,Japan,2013-03-31,1.73
Software,Wii U,The Americas,2013-03-31,7.28
Software,Wii U,Other,2013-03-31,4.4
Nintendo Wii,Wii,Japan,2014-03-31,0.04
Nintendo Wii,Wii,The Americas,2014-03-31,0.71
Nintendo Wii,Wii,Other,2014-03-31,0.48
Software,Wii,Japan,2014-03-31,1.28
Software,Wii,The Americas,2014-03-31,13.65
Software,Wii,Other,2014-03-31,11.24
Nintendo Wii U,Wii U,Japan,2014-03-31,0.89
Nintendo Wii U,Wii U,The Americas,2014-03-31,1.29
Nintendo Wii U,Wii U,Other,2014-03-31,0.55
Software,Wii U,Japan,2014-03-31,3.89
Software,Wii U,The Americas,2014-03-31,9.700000000000001
Software,Wii U,Other,2014-03-31,5.2700000000000005
Nintendo Wii,Wii,Japan,2015-03-31,0.0
Nintendo Wii,Wii,The Americas,2015-03-31,0.18
Nintendo Wii,Wii,Other,2015-03-31,0.27
Software,Wii,Japan,2015-03-31,0.32
Software,Wii,The Americas,2015-03-31,5.42
Software,Wii,Other,2015-03-31,6.0
Nintendo Wii U,Wii U,Japan,2015-03-31,0.53
Nintendo Wii U,Wii U,The Americas,2015-03-31,1.85
Nintendo Wii U,Wii U,Other,2015-03-31,1.0
Software,Wii U,Japan,2015-03-31,3.33
Software,Wii U,The Americas,2015-03-31,14.61
Software,Wii U,Other,2015-03-31,6.46
Nintendo Wii,Wii,Japan,2016-03-31,0.0
Nintendo Wii,Wii,The Americas,2016-03-31,0.0
Nintendo Wii,Wii,Other,2016-03-31,0.11
Software,Wii,Japan,2016-03-31,0.27
Software,Wii,The Americas,2016-03-31,3.18
