Product,Group,Date,Qty
2DS,2DS/3DS,2011-03-31,0.0
2DS,2DS/3DS,2012-03-31,0.0
2DS,2DS/3DS,2013-03-31,0.0
2DS,2DS/3DS,2014-03-31,2.2
2DS,2DS/3DS,2015-03-31,1.55
2DS,2DS/3DS,2016-03-31,1.17
2DS,2DS/3DS,2017-03-31,2.5
2DS,2DS/3DS,2018-03-31,1.9900000000000002
2DS,2DS/3DS,2019-03-31,0.88
2DS,2DS/3DS,2020-03-31,0.2
2DS,2DS/3DS,2021-03-31,0.0
2DS,2DS/3DS,2022-03-31,0.0
2DS,2DS/3DS,2023-03-31,0.0
3DS,2DS/3DS,2011-03-31,3.61
3DS,2DS/3DS,2012-03-31,13.520000000000001
3DS,2DS/3DS,2013-03-31,6.18
3DS,2DS/3DS,2014-03-31,2.16
3DS,2DS/3DS,2015-03-31,0.51
3DS,2DS/3DS,2016-03-31,0.24000000000000002
3DS,2DS/3DS,2017-03-31,0.05
3DS,2DS/3DS,2018-03-31,0.0
3DS,2DS/3DS,2019-03-31,0.0
3DS,2DS/3DS,2020-03-31,0.0
3DS,2DS/3DS,2021-03-31,0.0
3DS,2DS/3DS,2022-03-31,0.0
3DS,2DS/3DS,2023-03-31,0.0
3DS XL,2DS/3DS,2011-03-31,0.0
3DS XL,2DS/3DS,2012-03-31,0.0
3DS XL,2DS/3DS,2013-03-31,7.78
3DS XL,2DS/3DS,2014-03-31,7.88
3DS XL,2DS/3DS,2015-03-31,3.41
3DS XL,2DS/3DS,2016-03-31,0.51
3DS XL,2DS/3DS,2017-03-31,0.06
3DS XL,2DS/3DS,2018-03-31,0.0
3DS XL,2DS/3DS,2019-03-31,0.0
3DS XL,2DS/3DS,2020-03-31,0.0
3DS XL,2DS/3DS,2021-03-31,0.0
3DS XL,2DS/3DS,2022-03-31,0.0
3DS XL,2DS/3DS,2023-03-31,0.0
DS,DS,2005-03-31,5.260000000000001
DS,DS,2006-03-31,10.88
DS,DS,2007-03-31,2.29
DS,DS,2008-03-31,0.08
DS,DS,2009-03-31,0.0
DS,DS,2010-03-31,0.0
DS,DS,2011-03-31,0.0
DS,DS,2012-03-31,0.0
DS,DS,2013-03-31,0.0
DS,DS,2014-03-31,0.0
DS,DS,2015-03-31,0.0
DS,DS,2016-03-31,0.0
DS,DS,2017-03-31,0.0
DS,DS,2018-03-31,0.0
DS,DS,2019-03-31,0.0
DS,DS,2020-03-31,0.0
DS,DS,2021-03-31,0.0
DS,DS,2022-03-31,0.0
DS Lite,DS,2005-03-31,0.0
DS Lite,DS,2006-03-31,0.58
DS Lite,DS,2007-03-31,21.27
DS Lite,DS,2008-03-31,29.93
DS Lite,DS,2009-03-31,28.160000000000004
DS Lite,DS,2010-03-31,10.25
DS Lite,DS,2011-03-31,2.8600000000000003
DS Lite,DS,2012-03-31,0.77
DS Lite,DS,2013-03-31,0.02
DS Lite,DS,2014-03-31,0.0
DS Lite,DS,2015-03-31,0.0
DS Lite,DS,2016-03-31,0.01
DS Lite,DS,2017-03-31,0.0
DS Lite,DS,2018-03-31,0.0
DS Lite,DS,2019-03-31,0.0
DS Lite,DS,2020-03-31,0.0
DS Lite,DS,2021-03-31,0.0
DS Lite,DS,2022-03-31,0.0
DSi,DS,2005-03-31,0.0
DSi,DS,2006-03-31,0.0
DSi,DS,2007-03-31,0.0
DSi,DS,2008-03-31,0.0
DSi,DS,2009-03-31,3.0300000000000002
DSi,DS,2010-03-31,14.8
DSi,DS,2011-03-31,6.66
DSi,DS,2012-03-31,2.29
DSi,DS,2013-03-31,1.54
DSi,DS,2014-03-31,0.11000000000000001
DSi,DS,2015-03-31,0.01
DSi,DS,2016-03-31,0.0
DSi,DS,2017-03-31,0.0
DSi,DS,2018-03-31,0.0
DSi,DS,2019-03-31,0.0
DSi,DS,2020-03-31,0.0
DSi,DS,2021-03-31,0.0
DSi,DS,2022-03-31,0.0
DSi XL,DS,2005-03-31,0.0
DSi XL,DS,2006-03-31,0.0
DSi XL,DS,2007-03-31,0.0
DSi XL,DS,2008-03-31,0.0
DSi XL,DS,2009-03-31,0.0
DSi XL,DS,2010-03-31,2.08
DSi XL,DS,2011-03-31,7.99
