Group,Date,Qty
2DS/3DS,2011-03-31,9.43
2DS/3DS,2012-03-31,35.99
2DS/3DS,2013-03-31,49.61
2DS/3DS,2014-03-31,67.89
2DS/3DS,2015-03-31,62.75
2DS/3DS,2016-03-31,48.52
2DS/3DS,2017-03-31,55.09
2DS/3DS,2018-03-31,35.64
2DS/3DS,2019-03-31,13.220000000000002
2DS/3DS,2020-03-31,4.99
2DS/3DS,2021-03-31,3.39
2DS/3DS,2022-03-31,2.0700000000000003
2DS/3DS,2023-03-31,2.83
DS,2005-03-31,10.49
DS,2006-03-31,49.95
DS,2007-03-31,123.55
DS,2008-03-31,185.62
DS,2009-03-31,197.31
DS,2010-03-31,151.59
DS,2011-03-31,120.97
DS,2012-03-31,60.830000000000005
DS,2013-03-31,33.37
DS,2014-03-31,10.3
DS,2015-03-31,2.99
DS,2016-03-31,1.26
DS,2017-03-31,0.31999999999999995
DS,2018-03-31,0.05
DS,2019-03-31,0.03
DS,2020-03-31,0.05
DS,2021-03-31,0.05
DS,2022-03-31,0.03
Gamecube,2002-03-31,14.36
Gamecube,2003-03-31,46.14
Gamecube,2004-03-31,47.370000000000005
Gamecube,2005-03-31,48.42999999999999
Gamecube,2006-03-31,32.78
Gamecube,2007-03-31,16.8
Gamecube,2008-03-31,2.59
Gamecube,2009-03-31,0.09
Switch,2017-03-31,5.46
Switch,2018-03-31,63.510000000000005
Switch,2019-03-31,118.55000000000001
Switch,2020-03-31,168.72
Switch,2021-03-31,230.88
Switch,2022-03-31,235.07
Switch,2023-03-31,213.96999999999997
Wii,2007-03-31,28.84
Wii,2008-03-31,119.60999999999999
Wii,2009-03-31,204.57999999999998
Wii,2010-03-31,191.81
Wii,2011-03-31,171.27
Wii,2012-03-31,102.37
Wii,2013-03-31,50.6
Wii,2014-03-31,26.17
Wii,2015-03-31,11.74
Wii,2016-03-31,7.33
Wii,2017-03-31,3.56
Wii,2018-03-31,1.95
Wii,2019-03-31,1.01
Wii,2020-03-31,0.8800000000000001
Wii,2021-03-31,0.16
Wii,2022-03-31,0.0
Wii,2023-03-31,0.0
Wii U,2007-03-31,0.0
Wii U,2008-03-31,0.0
Wii U,2009-03-31,0.0
Wii U,2010-03-31,0.0
Wii U,2011-03-31,0.0
Wii U,2012-03-31,0.0
Wii U,2013-03-31,13.41
Wii U,2014-03-31,18.860000000000003
Wii U,2015-03-31,24.4
Wii U,2016-03-31,27.37
Wii U,2017-03-31,14.8
Wii U,2018-03-31,3.16
Wii U,2019-03-31,0.85
Wii U,2020-03-31,0.25
Wii U,2021-03-31,0.25
Wii U,2022-03-31,0.13
Wii U,2023-03-31,0.12
